gene,symbol,outcome,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000117592,PRDX6,fbg,0.00768125142260886,0.726338697648762,0.002546,32.3837,1068,0.00523139557359958,TRUE,""
ENSG00000117601,SERPINC1,fbg,-0.0327338569105074,0.150575972824847,0.002546,34.873,1007,0.0163638741571088,TRUE,""
ENSG00000117602,RCAN3,fbg,0.215360072857607,0.0297116662879534,0.000818,12.3812,1257,0.0794977055857208,TRUE,""
ENSG00000117632,STMN1,fbg,0.0166676586021885,0.626131140669092,0.008789,18.5543,1173,0.00534403969575406,TRUE,""
ENSG00000117682,DHDDS,fbg,0.0786313762780223,0.0850292707808799,0.008789,13.9498,969,0.018659134899004,TRUE,""
ENSG00000117691,NENF,fbg,0.0337781235454667,0.182422439451736,0.001554,23.1067,1735,0.00959151863384717,TRUE,""
ENSG00000117697,NSL1,fbg,-0.0246847261791196,0.592730265819558,0.001554,33.0581,1776,0.0117852635675401,TRUE,""
ENSG00000117748,RPA2,fbg,-0.0148329722627569,0.751496544187975,1.967e-05,42.8796,789,0.0150145774673526,TRUE,""
ENSG00000117791,MARC2,fbg,0.0146365341027874,0.716129568855565,0.0007661,9.9405,1854,0.00556147741787722,TRUE,""
ENSG00000117834,SLC5A9,fbg,-0.184491032801106,0.158019253847399,0.001204,6.3523,1806,0.0137429852578242,TRUE,""
ENSG00000117859,OSBPL9,fbg,-0.169456086995723,0.143353956720821,0.001522,12.4624,756,0.0276691444598391,TRUE,""
ENSG00000118193,KIF14,fbg,0.187916647290096,0.299055232507361,0.001614,5.1055,2177,0.0296426578251928,TRUE,""
ENSG00000118197,DDX59,fbg,-0.0047824370720942,0.878349993874022,0.001614,85.1161,2140,0.00438764808897376,TRUE,""
ENSG00000118873,RAB3GAP2,fbg,-0.0480337142371662,0.0362822563270125,0.0007661,22.5738,1901,0.0333494362113523,TRUE,""
ENSG00000119280,C1orf198,fbg,-0.0325846671509137,0.208967264956349,0.001227,26.7173,1979,0.011239564526085,TRUE,""
ENSG00000119285,HEATR1,fbg,-0.0403197663783716,0.317310507862914,0.003749,14.2785,2332,0.00594559403868423,TRUE,""
ENSG00000119535,CSF3R,fbg,-0.199171165073321,0.391365938307552,0.0008783,13.2746,1222,0.033799155758823,TRUE,""
ENSG00000120370,GORAB,fbg,0.0963263934701309,0.109598583399116,0.0003903,45.921,2390,0.0107523129010112,TRUE,""
ENSG00000120948,TARDBP,fbg,-0.173815406255292,0.196120745095134,0.005201,5.3654,1321,0.0128389199793661,TRUE,""
ENSG00000121310,ECHDC2,fbg,-0.0242464995372011,0.0718606382258516,0.001522,71.81,1498,0.00428497935060325,TRUE,""
ENSG00000121644,DESI2,fbg,0.170358148372991,0.0153403612414819,0.0008792,7.4771,1810,0.0732782229990856,TRUE,""
ENSG00000121769,FABP3,fbg,-0.0151955481918049,0.732271676747657,0.000104,8.9674,1518,0.00476864648000381,TRUE,""
ENSG00000121848,RNF115,fbg,-0.0608306505895167,0.0607927235305228,0.01486,11.7797,299,0.0251326185874039,TRUE,""
ENSG00000121940,CLCC1,fbg,0.0437723869365638,0.75594445062856,0.001876,9.2553,1472,0.025534841758831,TRUE,""
ENSG00000121957,GPSM2,fbg,-0.059288782682819,0.293718112751792,0.001876,11.509,1476,0.00816088629531276,TRUE,""
ENSG00000122176,FMOD,fbg,0.330092472385371,0.0699089739364695,0.003817,4.5756,1713,0.0122179667849504,TRUE,""
ENSG00000122224,LY9,fbg,0.00896461418067145,0.725324774655607,0.000783,25.8126,1679,0.00461436305447664,TRUE,""
ENSG00000122417,ODF2L,fbg,0.0120804277753953,0.125707617716504,0.0008768,74.5273,1984,0.010744859177982,TRUE,""
