gene,symbol,outcome,mr_b,mr_p,padj,gwas_min_p,eqtl_F_max,nsnp,pp4,strong
ENSG00000072310,SREBF1,cad,-0.134379082272855,4.37839748902914e-07,7.931385969941305e-05,9.507e-10,43.2793,3869.0,0.504731631220816,False
ENSG00000092929,UNC13D,cad,0.160163754977835,0.00049328781808,0.019047400407073267,3.002e-06,24.7368,5138.0,0.412538857206393,False
ENSG00000108262,GIT1,cad,0.0986714624263871,4.90137406411545e-06,0.0005448322851724696,2.902e-10,47.8503,2942.0,0.012738572124076,False
ENSG00000108551,RASD1,cad,-0.327205882352941,2.7917651565573902e-09,9.99111466882112e-07,9.507e-10,17.136,4152.0,0.98599491492195,True
ENSG00000108604,SMARCD2,cad,-0.0946679612417765,0.0012190927202462,0.035410465649585846,6.279e-11,38.2522,2953.0,2.47830199138925e-05,False
ENSG00000108771,DHX58,cad,-0.13225836830039,4.999923035112e-07,8.631043611082161e-05,7.357e-09,34.4857,3664.0,0.722704110681234,False
ENSG00000108773,KAT2A,cad,-0.393298144887063,7.80030618486724e-07,0.00012717099183395225,7.357e-09,9.0232,3620.0,0.63242972422107,False
ENSG00000108774,RAB5C,cad,0.459563494614342,1.22997810227051e-06,0.0001899733546801599,7.357e-09,7.5805,3557.0,0.549975677876686,False
ENSG00000108784,NAGLU,cad,-0.23059659802354,1.43321705014131e-05,0.0012517615343287764,7.357e-09,20.7644,3506.0,0.0679548903583534,False
ENSG00000108788,MLX,cad,0.302512416437894,2.75181852895587e-06,0.0003336977956642106,7.357e-09,16.74,3550.0,0.307646643160126,False
ENSG00000125686,MED1,cad,0.191321990203283,0.0011540500847815,0.03455791202856929,5.366e-06,18.1399,4186.0,0.179082687383277,False
ENSG00000131470,PSMC3IP,cad,0.521624214421213,1.41712704254932e-06,0.0002079350509532632,7.357e-09,10.0624,3560.0,0.319229385313313,False
ENSG00000132361,CLUH,cad,-0.902359812629512,0.0006738585313537,0.02388291360036918,4.112e-17,6.0694,5770.0,0.0002918530948094,False
ENSG00000132475,H3F3B,cad,0.249243795122961,0.001852567530626,0.04794131107032681,3.002e-06,13.5335,5079.0,0.0958167561300931,False
ENSG00000132589,FLOT2,cad,-0.358781378577042,0.0003518773825338,0.014709677589511246,2.902e-10,10.8155,2871.0,0.0004466242673281,False
ENSG00000133027,PEMT,cad,-0.198111803095952,5.13973311036439e-05,0.0034753596280357926,9.507e-10,22.0333,4013.0,0.0117439862136925,False
ENSG00000141034,GID4,cad,-0.232318659913553,4.83400418423464e-07,8.545704023527093e-05,9.507e-10,19.8747,3570.0,0.358413925271065,False
ENSG00000141298,SSH2,cad,-0.0585127957461338,5.34512014389842e-05,0.003564952175973719,2.902e-10,46.2068,3133.0,0.0328792142733675,False
ENSG00000141337,ARSG,cad,0.189502515033067,0.0001959837595631,0.009553719947074307,6.605e-07,20.1833,5014.0,0.439458538458357,False
ENSG00000141376,BCAS3,cad,0.815780620506741,6.06116904532927e-05,0.003970336312594481,8.514e-10,8.1673,2313.0,0.0049706430558687,False
ENSG00000141736,ERBB2,cad,0.50559370131035,0.0001030341649342,0.00609604960515934,5.366e-06,8.149,4121.0,0.535964983344717,False
ENSG00000141744,PNMT,cad,0.458504106122472,0.000465258158071,0.018204621209002087,5.366e-06,7.8678,4066.0,0.338675720480652,False
ENSG00000159199,ATP5G1,cad,-0.156145818598886,7.06073175894804e-09,2.252219936935752e-06,1.63e-15,35.8134,4674.0,4.04460259827931e-05,False
ENSG00000159202,UBE2Z,cad,-0.159246714608416,2.19797707568539e-09,8.062729407882931e-07,1.63e-15,41.2938,4713.0,3.30573021122532e-12,False
ENSG00000159210,SNF8,cad,0.706790330402519,8.332448026323601e-10,3.493200282578463e-07,1.63e-15,8.6955,4738.0,0.0003920362908353,False
ENSG00000161395,PGAP3,cad,0.104462734025669,4.13150138250935e-05,0.0029285758350511932,5.366e-06,43.2185,4082.0,0.890020029782919,True
ENSG00000161533,ACOX1,cad,0.0981814750929584,0.0001446960878502,0.007720457080094489,3.002e-06,102.2868,5464.0,0.024686591391968,False
ENSG00000161547,SRSF2,cad,-0.458627834018405,0.0005847381064843,0.021256141914567334,3.002e-06,7.5925,6436.0,0.381680286523539,False
ENSG00000167083,GNGT2,cad,0.176158788700836,1.52127939735265e-10,8.267308369390902e-08,1.63e-15,47.5453,4750.0,4.02829670552393e-06,False
ENSG00000167085,PHB,cad,0.474620642846754,6.16797733408342e-06,0.0006464480815929002,1.63e-15,12.3762,4952.0,7.44836049736879e-08,False
ENSG00000167549,CORO6,cad,0.298609595096616,1.17593978706119e-06,0.00018355919676115785,2.902e-10,16.5116,3036.0,0.061051335902776,False
ENSG00000173868,PHOSPHO1,cad,-0.322607454877713,2.55866418570862e-08,6.586540280158348e-06,1.63e-15,19.9735,4754.0,1.31260393549801e-05,False
ENSG00000175906,ARL4D,cad,0.222503908317858,0.0015419695689399,0.04213281095913436,2.333e-07,15.019,3531.0,0.0202592761987196,False
ENSG00000176563,CNTD1,cad,1.34470723104855,0.0015541183352935,0.04238583333412923,7.357e-09,4.8554,3359.0,0.0109781945568442,False
ENSG00000176927,EFCAB5,cad,-0.217098823337815,7.36160402249551e-05,0.0046558972337102,2.902e-10,18.2007,3284.0,0.0151728789017109,False
ENSG00000177374,HIC1,cad,-0.649106402164931,4.79140797228553e-07,8.545704023527093e-05,4.112e-17,7.897,5895.0,1.42190041822109e-06,False
ENSG00000188878,FBF1,cad,0.305965275773478,0.0001113595081289,0.00643298449911555,3.002e-06,7.1421,5318.0,0.595002364260513,False
ENSG00000197723,HSPB9,cad,-0.572151556912153,4.06349383409794e-06,0.00047320353196602446,7.357e-09,6.5318,3568.0,0.246159957197274,False
ENSG00000197815,AC122129.1,cad,-0.455387360721968,2.21496236647692e-07,4.6428775433308354e-05,9.507e-10,4.6915,3821.0,0.671516232692062,False
ENSG00000198720,ANKRD13B,cad,0.826579439641376,7.38972466987232e-06,0.0007529821533405316,2.902e-10,4.9534,2989.0,0.151857922231138,False
ENSG00000200127,Y_RNA,cad,-0.498876678024378,7.13621180303677e-05,0.004532884666058811,7.357e-09,5.2233,3330.0,0.0363043594913575,False
ENSG00000204277,RP11-219G17.4,cad,-0.115357482386842,0.0013026985337477,0.03718773460249028,3.156e-05,16.8591,7040.0,0.303362850317991,False
ENSG00000204650,CRHR1-IT1,cad,0.0393737915894363,0.0005852573661477,0.021256141914567334,0.0001836,96.7297,2054.0,0.293189550690604,False
ENSG00000214401,KANSL1-AS1,cad,0.0266994394386761,0.0005852573661477,0.021256141914567334,8.199e-10,71.2389,1721.0,0.000976861534101,False
ENSG00000214425,LRRC37A4P,cad,-0.0260502111249891,0.0005852573661477,0.021256141914567334,0.0001836,71.6138,2357.0,0.292674134486982,False
ENSG00000228782,MRPL45P2,cad,0.082934393366093,2.81041036458747e-06,0.00033800943671796676,8.199e-10,25.7935,4103.0,0.165612874672063,False
ENSG00000237854,LINC00674,cad,0.215434781140004,0.000501413782561,0.019190252808968605,6.605e-07,8.9823,4929.0,0.213767388528674,False
ENSG00000238083,LRRC37A2,cad,0.0377310037647645,0.0005852573661477,0.021256141914567334,8.199e-10,53.8108,2310.0,0.0008566629952882,False
ENSG00000243678,NME1-NME2,cad,-0.397004217944427,0.0005680487105968,0.021208597278846934,5.562e-06,8.4261,5131.0,0.233829119097157,False
ENSG00000250506,CDK3,cad,0.627622652545194,0.0001430600902711,0.007661024469152739,3.002e-06,6.9905,5598.0,0.481703759561421,False
ENSG00000263503,RP11-707O23.5,cad,0.0280863242214292,0.0005852573661477,0.021256141914567334,0.0001836,68.0459,2159.0,0.320572986428557,False
ENSG00000263766,RP11-580I16.2,cad,-0.255418496782264,5.34512014389844e-05,0.003564952175973719,8.199e-10,5.8657,4506.0,0.0093963054843393,False
ENSG00000264070,DND1P1,cad,0.0340578070178249,0.0005852573661477,0.021256141914567334,0.0001836,64.0275,2204.0,0.379079660807515,False
ENSG00000264290,RP11-68I3.4,cad,-0.285510219107474,5.32080722726776e-06,0.0005657406119253612,2.902e-10,6.8531,2873.0,0.0201122747669228,False
ENSG00000266173,STRADA,cad,-0.253053457723674,0.0017780505982168,0.046671442625465305,6.279e-11,12.8404,3221.0,2.62167516915606e-05,False
ENSG00000266469,CTB-131K11.1,cad,0.180323906381063,0.0013887951558043,0.03877442100486293,5.366e-06,8.1975,4192.0,0.162301086929017,False
ENSG00000266490,CTD-2349P21.9,cad,0.144207368455539,0.0010305486111253,0.03225853642365851,1.194e-08,13.163,3815.0,0.006122699934846,False
ENSG00000266980,RP11-552F3.4,cad,0.266582506317195,0.000225558229675,0.010473468050700237,3.002e-06,6.2537,5020.0,0.531961914165421,False
ENSG00000267342,RP11-552F3.10,cad,0.123627468448683,2.22783345251322e-05,0.0018262011312137698,3.002e-06,13.0836,5171.0,0.866553118253087,True
