gene,symbol,outcome,mr_b,mr_p,padj,gwas_min_p,eqtl_F_max,nsnp,pp4,set,status
ENSG00000104497,SNX16,cad,0.044744154613088,9.08574933437649e-05,0.0054637377042338,3.404e-05,92.5098,5603.0,0.87381104158605,fdr_core_strong,strong (FDR-core)
ENSG00000158710,TAGLN2,cad,0.141037002437856,2.62947160278819e-05,0.0020306440435637,2.348e-05,31.0058,5466.0,0.946476746550235,fdr_core_strong,strong (FDR-core)
ENSG00000100296,THOC5,cad,-0.244453058420176,1.92450906291879e-06,0.0002590671695431,2.001e-07,23.1069,4877.0,0.9227176976172,fdr_core_strong,strong (FDR-core)
ENSG00000181264,TMEM136,cad,0.729149092009567,3.01389645416632e-05,0.0022678411626657,1.142e-06,5.7312,5481.0,0.866319231849221,fdr_core_strong,strong (FDR-core)
ENSG00000108219,TSPAN14,cad,-0.287677674221678,1.9505512847727e-11,1.4310219500734914e-08,1.724e-11,25.2573,6704.0,0.995904563349378,fdr_core_strong,strong (FDR-core)
ENSG00000212541,U6,cad,-0.0920161824594986,9.55529449970871e-10,3.894578783172942e-07,4.129e-10,27.215,5155.0,0.988896566819144,fdr_core_strong,strong (FDR-core)
ENSG00000243284,VSIG8,cad,0.367374619378322,2.62947160278819e-05,0.0020306440435637,2.348e-05,10.9416,5560.0,0.916242256890915,fdr_core_strong,strong (FDR-core)
ENSG00000150627,WDR17,cad,-0.359592347507123,8.32720336499478e-05,0.0050910439572736,1.469e-05,9.3205,5972.0,0.880246872223885,fdr_core_strong,strong (FDR-core)
ENSG00000157429,ZNF19,cad,0.2142257864325,0.328434151229541,,2.92e-11,7.1323,3900.0,0.903031175316183,gray_zone,strong (MR-null)
ENSG00000090612,ZNF268,cad,0.230801330583725,4.8945496450067e-05,0.0033403593926131,1.958e-05,18.223,2320.0,0.867457634253687,fdr_core_strong,strong (FDR-core)
ENSG00000118620,ZNF430,cad,-0.173259014208594,7.90149177756325e-05,0.0048919235802609,3.973e-05,22.8965,6834.0,0.811586798031648,fdr_core_strong,strong (FDR-core)
ENSG00000135070,ISCA1,fbg,-0.0359515457962085,4.85499477133777e-05,0.035107006635407,2.685e-05,39.6902,1974.0,0.919375066411748,fdr_core_strong,strong (FDR-core)
ENSG00000268649,hsa-mir-296,fbg,0.396699943683144,6.33424836662398e-05,0.0412232883699888,4.731e-05,7.351,2348.0,0.94668300350377,fdr_core_strong,strong (FDR-core)
ENSG00000267698,AC002116.7,t2d,0.280787012342713,4.33970248944834e-05,0.0031814077962214,1.012e-05,7.6694,2720.0,0.850176089156289,fdr_core_strong,strong (FDR-core)
ENSG00000253981,ALG1L13P,t2d,0.144493296309118,1.46868476737894e-05,0.001467244880352,4.939e-08,18.6842,3390.0,0.816051995860348,fdr_core_strong,strong (FDR-core)
ENSG00000064999,ANKS1A,t2d,-0.540550528326217,3.81991970655781e-05,0.0028621310154282,1.01e-06,17.2218,3168.0,0.8935332822457,fdr_core_strong,strong (FDR-core)
ENSG00000157823,AP3S2,t2d,0.0268996327171521,0.383022690152617,,5.513e-11,55.5977,3268.0,0.93516468640131,gray_zone,strong (MR-null)
ENSG00000118520,ARG1,t2d,-0.143760804503598,1.06739783516975e-06,0.0001843522701759,2.427e-08,67.6381,4018.0,0.998466861748427,fdr_core_strong,strong (FDR-core)
ENSG00000213390,ARHGAP19,t2d,-0.118753719368504,0.0001072555677459,0.0062490698565984,1.105e-06,48.4204,3078.0,0.839294639172335,fdr_core_strong,strong (FDR-core)
ENSG00000169379,ARL13B,t2d,1.04386442634154,5.37273754655698e-07,0.0001079853786694,9.517e-08,6.8249,1539.0,0.935442298629427,fdr_core_strong,strong (FDR-core)
