gene,symbol,outcome,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000074800,ENO1,cad,-0.0140315189363992,0.674956824198369,0.0001354,22.1273,4449,0.00264989804573202,TRUE,""
ENSG00000074964,ARHGEF10L,cad,-0.358336784710841,0.0974115109686952,6.958e-05,5.9185,5609,0.0292911032664584,TRUE,""
ENSG00000075151,EIF4G3,cad,0.0799917903965093,0.483343843191817,2.942e-05,15.7139,4867,0.00297582223762592,TRUE,""
ENSG00000075391,RASAL2,cad,-0.213162672710182,0.146189050972439,0.001666,7.7659,4742,0.00823404113781465,TRUE,""
ENSG00000075945,KIFAP3,cad,0.292357510436547,0.0543242037051153,3.138e-12,15.0355,6235,7.57577928213617e-08,TRUE,""
ENSG00000076258,FMO4,cad,0.115623327337717,0.00469003858195192,5.554e-05,24.5424,5567,0.114865009957063,TRUE,""
ENSG00000076321,KLHL20,cad,-0.0531980231539806,0.383771766671715,0.0001874,18.0672,3738,0.00424754054296745,TRUE,""
ENSG00000076356,PLXNA2,cad,0.0480461906040594,0.570940671802888,0.0002252,11.4502,5117,0.00308808778379783,TRUE,""
ENSG00000076864,RAP1GAP,cad,0.0134151015714833,0.21129954733371,2.942e-05,101.1046,5210,0.00293642019289077,TRUE,""
ENSG00000077152,UBE2T,cad,0.255658996231878,0.526715669904561,1.097e-10,4.6606,4965,0.00369336353202535,TRUE,""
ENSG00000077157,PPP1R12B,cad,-0.22269478164297,0.185521756015123,1.097e-10,6.9016,4915,3.54739803876229e-06,TRUE,""
ENSG00000077254,USP33,cad,-0.157729992679302,0.0780853899368554,2.203e-05,11.4795,4062,0.0120509740346576,TRUE,""
ENSG00000077549,CAPZB,cad,-0.542393313629368,0.00562985627215887,0.0001008,10.908,5728,0.188173125667651,TRUE,""
ENSG00000077585,GPR137B,cad,0.0128610292222992,0.563179729625262,3.923e-05,51.411,5725,0.00184337401435291,TRUE,""
ENSG00000078618,NRD1,cad,-0.0174882783266445,0.388649568058315,0.0008757,34.1451,3085,0.00391332080354145,TRUE,""
ENSG00000078808,SDF4,cad,0.021993197942441,0.788122072304491,0.0001901,27.708,2220,0.00727220847698099,TRUE,""
ENSG00000078900,TP73,cad,-0.0211053257154723,0.907698485974457,9.974e-10,5.4636,6782,0.000290608893987372,TRUE,""
ENSG00000079277,MKNK1,cad,-0.056063154927527,0.0378086594703814,1.755e-05,40.2036,3550,0.0302195390411346,TRUE,""
ENSG00000079335,CDC14A,cad,0.0180397257735884,0.200298443330043,0.0002107,71.8444,3743,0.00560407461473633,TRUE,""
ENSG00000079739,PGM1,cad,-0.00407901736821788,0.93144932177141,0.0009369,34.4484,4148,0.0043937633859364,TRUE,""
ENSG00000080947,CROCCP3,cad,-0.00873023817669343,0.905557350848683,6.958e-05,10.6109,4065,0.00259620979180884,TRUE,""
ENSG00000081019,RSBN1,cad,-0.137854368358798,0.433658978009481,4.159e-10,12.9496,3241,0.00128798389340725,TRUE,""
ENSG00000081026,MAGI3,cad,-0.745933099244886,0.000139629563016004,6.597e-07,6.1037,3401,0.312205319593485,TRUE,""
ENSG00000081237,PTPRC,cad,-0.214367270938379,0.592374513746912,4.243e-05,7.8783,5393,0.00776831132992838,TRUE,""
ENSG00000081692,JMJD4,cad,-0.0456289030408974,0.20854522523803,3.954e-07,32.3786,5211,0.00187683254177354,TRUE,""
ENSG00000081721,DUSP12,cad,-0.135177250804739,0.378859309553424,0.0005435,14.2988,5516,0.00817599662615246,TRUE,""
ENSG00000081870,HSPB11,cad,0.195705916394292,0.0955807045456294,1.855e-22,12.5891,4634,0.0143916766660365,TRUE,""
ENSG00000081985,IL12RB2,cad,0.00814727838980609,0.787752103714477,0.0002924,44.2676,4284,0.0035227898263155,TRUE,""
ENSG00000082512,TRAF5,cad,0.0227445617902821,0.653954118781056,0.0006309,20.3474,5929,0.00284518300532046,TRUE,""
ENSG00000083444,PLOD1,cad,0.00910767148820337,0.610912097082934,7.382e-08,86.473,4948,0.000271794965326777,TRUE,""
ENSG00000084070,SMAP2,cad,0.0652934267583632,0.513210927875975,9.106e-06,12.281,4176,0.0039051219699056,TRUE,""
ENSG00000084072,PPIE,cad,0.00604788049468233,0.468981059723151,9.106e-06,123.5903,3754,0.00283534019399698,TRUE,""
ENSG00000084073,ZMPSTE24,cad,0.114405880664445,0.0707595438155832,9.106e-06,16.0254,4161,0.0122516143629019,TRUE,""
ENSG00000084623,EIF3I,cad,-0.266028197235444,0.0545642352192359,7.588e-05,7.9798,2241,0.0363403884255053,TRUE,""
ENSG00000084652,TXLNA,cad,-0.318210678941841,0.061305293624337,7.588e-05,10.0796,2258,0.0312716580661643,TRUE,""
ENSG00000085433,WDR47,cad,0.0223702717619381,0.860548746080912,3.634e-58,10.1641,3484,1.96429862115553e-20,TRUE,""
