gene,symbol,outcome,grp,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000021488,SLC7A9,fbg,null,0.00114238961692953,0.956892098247026,5.291e-05,30.697,1641,0.00451674050891982,TRUE,""
ENSG00000021574,SPAST,cad,grey,0.305999555786997,0.116904183638693,7.104e-05,7.3695,4949,0.0303699648296237,TRUE,""
ENSG00000021776,AQR,fbg,grey,-0.0519342093686952,0.41821391318549,0.01341,11.6136,1737,0.00693407009860783,TRUE,""
ENSG00000022567,SLC45A4,fbg,grey,0.0131331961304468,0.426688082619747,0.002125,67.1737,1665,0.003844330432505,TRUE,""
ENSG00000022567,SLC45A4,cad,null,0.00423651488078929,0.887992336880331,6.576e-05,67.1737,3258,0.00332981947882481,TRUE,""
ENSG00000023041,ZDHHC6,fbg,grey,0.100641772183149,0.256785899295366,7.503e-10,19.121,2056,1.97977218306716e-05,TRUE,""
ENSG00000023041,ZDHHC6,cad,null,-0.0201283544366299,0.709236748741435,4.921e-05,19.121,629,0.000329276533875197,TRUE,""
ENSG00000023171,GRAMD1B,cad,grey,0.038211427200308,0.49924658287522,1.776e-05,20.9978,6538,0.0028661651159624,TRUE,""
ENSG00000023516,AKAP11,t2d,grey,-0.0772984457660874,0.323248218085019,0.0002344,18.6067,2852,0.00604513200632959,TRUE,""
ENSG00000023516,AKAP11,fbg,null,0.00572581079748796,0.851268623688206,0.003558,18.6067,2337,0.00392263514003461,TRUE,""
ENSG00000023697,DERA,cad,null,0.155196803173565,0.525236609352112,0.002589,11.8867,3505,0.00978599092282299,TRUE,""
ENSG00000023839,ABCC2,cad,grey,0.0518741529317068,0.352461927180254,2.761e-05,18.1248,520,0.000421830003485256,TRUE,""
ENSG00000023892,DEF6,cad,grey,-0.0319647516538764,0.0857401120161256,2.151e-11,67.043,4834,1.40906174999455e-07,TRUE,""
ENSG00000023902,PLEKHO1,t2d,grey,-0.100308887900398,0.451301649189636,9.493e-06,18.5847,1585,0.00506819819616242,TRUE,""
ENSG00000024862,CCDC28A,cad,null,0.00800440058560781,0.841480581121794,6.673e-05,26.6849,4979,0.00273200061769499,TRUE,""
ENSG00000025156,HSF2,fbg,grey,-0.0104728571986704,0.366406064176293,0.005304,49.8677,1910,0.00551173109222235,TRUE,""
ENSG00000025156,HSF2,cad,null,-0.0100988265844322,0.62970446671531,0.0001066,49.8677,4656,0.00352308618175374,TRUE,""
ENSG00000025434,NR1H3,t2d,null,-0.00246498133953733,0.937890037162822,2.169e-07,44.7238,2066,5.86799849317144e-05,TRUE,""
ENSG00000025770,NCAPH2,cad,grey,-0.273145896242544,0.200951237397543,0.0001068,7.3166,2677,0.00862464448838134,TRUE,""
ENSG00000025796,SEC63,fbg,null,0.0210209847658173,0.641848188772074,0.002094,16.8779,1591,0.00592588706369401,TRUE,""
ENSG00000026103,FAS,t2d,null,0.00250744321623066,0.931132744979333,0.0002255,49.1932,606,0.000238248499273656,TRUE,""
ENSG00000026103,FAS,fbg,null,-0.00716412347494474,0.531971058097401,0.001244,49.1932,2451,0.00461818713180582,TRUE,""
ENSG00000026559,KCNG1,cad,null,-0.0655731040739406,0.695138094126008,5.444e-08,7.8455,1779,0.000590363755430512,TRUE,""
ENSG00000026559,KCNG1,fbg,null,-0.0542673964749853,0.593802857207703,0.0002977,7.8455,1970,0.00724344309897465,TRUE,""
ENSG00000026652,AGPAT4,t2d,grey,0.161774926490243,0.22463863892378,8.822e-05,14.964,3561,0.0149568174610316,TRUE,""
