ENSG,biotype
ENSG00000174306,protein_coding
ENSG00000141101,protein_coding
ENSG00000160563,protein_coding
ENSG00000171132,protein_coding
ENSG00000161395,protein_coding
ENSG00000159199,protein_coding
ENSG00000155640,NOT_FOUND
ENSG00000137815,protein_coding
ENSG00000178700,protein_coding
ENSG00000168056,protein_coding
ENSG00000139323,protein_coding
ENSG00000142186,protein_coding
ENSG00000177169,protein_coding
ENSG00000169403,protein_coding
ENSG00000177311,protein_coding
ENSG00000173402,protein_coding
ENSG00000141294,protein_coding
ENSG00000143951,protein_coding
ENSG00000153250,protein_coding
ENSG00000166471,protein_coding
ENSG00000179195,protein_coding
ENSG00000175602,protein_coding
ENSG00000144749,protein_coding
ENSG00000142039,protein_coding
ENSG00000168477,protein_coding
ENSG00000147874,protein_coding
ENSG00000167103,protein_coding
ENSG00000174953,protein_coding
ENSG00000168970,protein_coding
ENSG00000167083,protein_coding
ENSG00000139146,protein_coding
ENSG00000163684,protein_coding
ENSG00000175305,protein_coding
ENSG00000143393,protein_coding
ENSG00000166166,protein_coding
ENSG00000154305,protein_coding
ENSG00000177710,protein_coding
ENSG00000143476,protein_coding
ENSG00000141026,protein_coding
ENSG00000166986,protein_coding
ENSG00000141736,protein_coding
ENSG00000141295,protein_coding
ENSG00000163812,protein_coding
ENSG00000168496,protein_coding
ENSG00000136715,protein_coding
ENSG00000176422,protein_coding
ENSG00000168852,transcribed_unprocessed_pseudogene
ENSG00000143420,protein_coding
ENSG00000142444,protein_coding
ENSG00000166507,protein_coding
ENSG00000181220,protein_coding
ENSG00000138160,protein_coding
ENSG00000153774,protein_coding
ENSG00000177917,protein_coding
ENSG00000135763,protein_coding
ENSG00000166747,protein_coding
ENSG00000164062,protein_coding
ENSG00000176092,protein_coding
ENSG00000172548,protein_coding
ENSG00000159210,protein_coding
ENSG00000164038,protein_coding
ENSG00000176761,unprocessed_pseudogene
ENSG00000157895,protein_coding
ENSG00000152409,protein_coding
ENSG00000176927,protein_coding
ENSG00000164039,protein_coding
ENSG00000149485,protein_coding
ENSG00000138297,NOT_FOUND
ENSG00000171044,protein_coding
ENSG00000169291,protein_coding
ENSG00000167183,protein_coding
ENSG00000174197,protein_coding
ENSG00000143452,protein_coding
ENSG00000142453,protein_coding
ENSG00000170464,protein_coding
ENSG00000169957,protein_coding
ENSG00000165917,protein_coding
ENSG00000177374,protein_coding
ENSG00000165685,protein_coding
ENSG00000138778,protein_coding
ENSG00000170917,protein_coding
ENSG00000172977,protein_coding
ENSG00000180846,lncRNA
ENSG00000170145,protein_coding
ENSG00000135473,protein_coding
ENSG00000173258,protein_coding
ENSG00000139567,protein_coding
ENSG00000165476,protein_coding
ENSG00000142669,protein_coding
ENSG00000176894,protein_coding
ENSG00000157322,protein_coding
ENSG00000171492,protein_coding
ENSG00000143384,protein_coding
ENSG00000135124,protein_coding
ENSG00000143156,protein_coding
ENSG00000172336,protein_coding
ENSG00000165617,protein_coding
ENSG00000172260,protein_coding
ENSG00000143158,protein_coding
ENSG00000156170,protein_coding
ENSG00000169180,protein_coding
ENSG00000143512,protein_coding
ENSG00000179818,lncRNA
ENSG00000151498,protein_coding
ENSG00000137076,protein_coding
ENSG00000145725,protein_coding
ENSG00000164941,protein_coding
ENSG00000145375,protein_coding
ENSG00000138735,protein_coding
ENSG00000161277,protein_coding
ENSG00000150967,protein_coding
ENSG00000164535,protein_coding
ENSG00000157992,protein_coding
ENSG00000164096,protein_coding
ENSG00000180530,protein_coding
ENSG00000175087,protein_coding
ENSG00000169169,protein_coding
ENSG00000141140,NOT_FOUND
ENSG00000179981,protein_coding
ENSG00000160712,protein_coding
ENSG00000146731,protein_coding
ENSG00000167491,protein_coding
ENSG00000174529,protein_coding
ENSG00000141744,protein_coding
ENSG00000141452,protein_coding
ENSG00000172113,protein_coding
ENSG00000146143,protein_coding
ENSG00000141376,protein_coding
ENSG00000179104,protein_coding
ENSG00000241244,IG_V_gene
ENSG00000196072,protein_coding
ENSG00000202533,misc_RNA
ENSG00000196118,protein_coding
ENSG00000181274,protein_coding
ENSG00000187166,protein_coding
ENSG00000257595,lncRNA
ENSG00000246889,lncRNA
ENSG00000264386,miRNA
ENSG00000196968,protein_coding
ENSG00000260233,lncRNA
ENSG00000237950,lncRNA
ENSG00000230149,lncRNA
ENSG00000197702,protein_coding
ENSG00000183784,lncRNA
ENSG00000256269,protein_coding
ENSG00000243678,protein_coding
ENSG00000239521,transcribed_unprocessed_pseudogene
ENSG00000221510,miRNA
ENSG00000234009,processed_pseudogene
ENSG00000185019,protein_coding
ENSG00000196155,protein_coding
ENSG00000234171,lncRNA
ENSG00000198208,protein_coding
ENSG00000204421,protein_coding
ENSG00000252118,snRNA
ENSG00000182628,protein_coding
ENSG00000263503,processed_pseudogene
ENSG00000198492,protein_coding
ENSG00000231125,lncRNA
ENSG00000235231,NOT_FOUND
ENSG00000241528,NOT_FOUND
ENSG00000223522,lncRNA
ENSG00000248971,processed_pseudogene
ENSG00000251288,processed_pseudogene
ENSG00000187098,protein_coding
ENSG00000196950,protein_coding
ENSG00000228784,lncRNA
ENSG00000198182,protein_coding
ENSG00000186577,protein_coding
ENSG00000182379,protein_coding
ENSG00000196712,protein_coding
ENSG00000267342,lncRNA
ENSG00000198700,protein_coding
ENSG00000226920,lncRNA
ENSG00000228782,transcribed_unprocessed_pseudogene
ENSG00000224738,lncRNA
ENSG00000231050,lncRNA
ENSG00000258682,lncRNA
ENSG00000237429,lncRNA
ENSG00000213071,transcribed_unprocessed_pseudogene
ENSG00000248213,processed_pseudogene
ENSG00000187942,protein_coding
ENSG00000242142,processed_pseudogene
ENSG00000264508,NOT_FOUND
ENSG00000229666,lncRNA
ENSG00000214413,protein_coding
ENSG00000198056,protein_coding
ENSG00000236493,processed_pseudogene
ENSG00000254858,protein_coding
ENSG00000226261,processed_pseudogene
ENSG00000245556,lncRNA
ENSG00000243176,NOT_FOUND
ENSG00000250848,transcribed_processed_pseudogene
ENSG00000234936,NOT_FOUND
ENSG00000228265,NOT_FOUND
ENSG00000203602,NOT_FOUND
ENSG00000250786,lncRNA
ENSG00000214955,NOT_FOUND
ENSG00000245937,lncRNA
ENSG00000185236,protein_coding
ENSG00000205639,protein_coding
ENSG00000252061,snRNA
ENSG00000249572,lncRNA
ENSG00000224997,NOT_FOUND
ENSG00000230069,processed_pseudogene
ENSG00000197723,NOT_FOUND
ENSG00000203288,lncRNA
ENSG00000204482,protein_coding
ENSG00000242288,lncRNA
ENSG00000182196,protein_coding
ENSG00000200127,NOT_FOUND
ENSG00000241973,protein_coding
ENSG00000196821,protein_coding
ENSG00000212541,snRNA
ENSG00000225603,processed_pseudogene
ENSG00000245148,lncRNA
ENSG00000230373,transcribed_unprocessed_pseudogene
ENSG00000260774,lncRNA
ENSG00000256234,lncRNA
ENSG00000248280,NOT_FOUND
ENSG00000205869,protein_coding
ENSG00000215417,lncRNA
ENSG00000213445,protein_coding
ENSG00000233609,transcribed_processed_pseudogene
ENSG00000227456,lncRNA
ENSG00000204277,lncRNA
ENSG00000264584,NOT_FOUND
ENSG00000250654,transcribed_unprocessed_pseudogene
ENSG00000188761,protein_coding
ENSG00000188211,protein_coding
ENSG00000184897,protein_coding
ENSG00000186409,protein_coding
ENSG00000227992,processed_pseudogene
ENSG00000256875,lncRNA
ENSG00000198270,protein_coding
ENSG00000196914,protein_coding
ENSG00000185090,protein_coding
ENSG00000230224,processed_pseudogene
ENSG00000196449,protein_coding
ENSG00000214548,lncRNA
ENSG00000186130,protein_coding
ENSG00000260091,lncRNA
ENSG00000238198,lncRNA
ENSG00000234694,lncRNA
ENSG00000229472,NOT_FOUND
ENSG00000185245,protein_coding
ENSG00000197520,protein_coding
ENSG00000258904,lncRNA
ENSG00000242247,protein_coding
ENSG00000243943,protein_coding
ENSG00000232677,lncRNA
