"gene","symbol","outcome","nsnp","method","b","se","pval"
"ENSG00000139746","RBM26","t2d",3,"MR Egger",0.254589796036543,0.140300563006896,0.320649895324809
"ENSG00000140262","TCF12","t2d",2,"Inverse variance weighted (fixed effects)",0.204393686525005,0.0900611734106239,0.0232380360538456
"ENSG00000140382","HMG20A","t2d",4,"Inverse variance weighted (fixed effects)",0.268350525745571,0.0675677543544244,7.1398474512815e-05
"ENSG00000140382","HMG20A","t2d",4,"Weighted median",0.25424044791066,0.0691118449419231,0.000234443055668399
"ENSG00000140382","HMG20A","t2d",4,"MR Egger",0.173713869681946,0.369260139388743,0.684356154632287
"ENSG00000140391","TSPAN3","t2d",5,"Inverse variance weighted (fixed effects)",0.103845600648025,0.0283587338316267,0.000250394565404915
"ENSG00000140391","TSPAN3","t2d",5,"Weighted median",0.104708517019312,0.0330497791972292,0.00153382664041377
"ENSG00000140391","TSPAN3","t2d",5,"MR Egger",0.13901073762814,0.0973467262998265,0.248596443918973
"ENSG00000141294","LRRC46","t2d",2,"Inverse variance weighted (fixed effects)",-0.244695841352782,0.0542757895608653,6.53247418581013e-06
"ENSG00000141295","SCRN2","t2d",3,"Inverse variance weighted (fixed effects)",-0.145406043169096,0.0287540204049762,4.26139170875335e-07
"ENSG00000141295","SCRN2","t2d",3,"Weighted median",-0.142605035732704,0.0299960896385025,1.99311777949998e-06
"ENSG00000141295","SCRN2","t2d",3,"MR Egger",-0.102403255719026,0.0514770730892727,0.296535669488483
"ENSG00000141452","C18orf8","t2d",4,"Inverse variance weighted (fixed effects)",-0.179562898229089,0.0342126607634062,1.53397424826736e-07
"ENSG00000141452","C18orf8","t2d",4,"Weighted median",-0.175322408905948,0.0341513802120662,2.84124337256445e-07
"ENSG00000141452","C18orf8","t2d",4,"MR Egger",-0.137231800956493,0.0586442585277162,0.144152441272773
"ENSG00000142669","SH3BGRL3","t2d",2,"Inverse variance weighted (fixed effects)",-0.481526928084917,0.0873610734455639,3.54947640924709e-08
"ENSG00000142675","CNKSR1","t2d",2,"Inverse variance weighted (fixed effects)",0.257103594474906,0.0863977056759117,0.00292211014299734
"ENSG00000144749","LRIG1","t2d",2,"Inverse variance weighted (fixed effects)",-0.174666079725986,0.0409280377141407,1.97552898144542e-05
"ENSG00000145431","PDGFC","t2d",2,"Inverse variance weighted (fixed effects)",0.289768591378333,0.0668667154039967,1.46740523365063e-05
"ENSG00000145725","PPIP5K2","t2d",4,"Inverse variance weighted (fixed effects)",-0.0725014747358681,0.018310184853596,7.50673899399234e-05
"ENSG00000145725","PPIP5K2","t2d",4,"Weighted median",-0.0754075070301873,0.0190270533249235,7.3960096063192e-05
"ENSG00000145725","PPIP5K2","t2d",4,"MR Egger",-0.117373619123676,0.0297359885759637,0.0585987069301626
"ENSG00000146166","LGSN","t2d",2,"Inverse variance weighted (fixed effects)",0.116520793724143,0.0303282956677423,0.000122044334510124
"ENSG00000146414","SHPRH","t2d",2,"Inverse variance weighted (fixed effects)",0.566662282891937,0.28801132520412,0.0491255956970184
"ENSG00000146830","GIGYF1","t2d",2,"Inverse variance weighted (fixed effects)",-0.413758757488916,0.0788941997920941,1.56726887149162e-07
"ENSG00000147324","MFHAS1","t2d",5,"Inverse variance weighted (fixed effects)",0.154293292585406,0.0494443695346901,0.00180517799868844
"ENSG00000147324","MFHAS1","t2d",5,"Weighted median",0.173184126279284,0.0501900070613363,0.000559404339781477
"ENSG00000147324","MFHAS1","t2d",5,"MR Egger",0.2698436618669,0.0845229398404494,0.0496140529025308
"ENSG00000147408","CSGALNACT1","t2d",10,"Inverse variance weighted (fixed effects)",-0.0408249572811475,0.0191353537939973,0.0328851022143063
"ENSG00000147408","CSGALNACT1","t2d",10,"Weighted median",-0.0496371247920336,0.0235964794896631,0.0354149429504954
"ENSG00000147408","CSGALNACT1","t2d",10,"MR Egger",-0.0439531384517444,0.0307126278110547,0.190279415399976
"ENSG00000147576","ADHFE1","t2d",4,"Inverse variance weighted (fixed effects)",-0.0419319422634062,0.0208704666281866,0.0445210037095668
"ENSG00000147576","ADHFE1","t2d",4,"Weighted median",-0.0434255117360174,0.0268134226473608,0.105330315795053
"ENSG00000147576","ADHFE1","t2d",4,"MR Egger",-0.0562332812604837,0.0687028895655087,0.499080943364589
"ENSG00000147905","ZCCHC7","t2d",3,"Inverse variance weighted (fixed effects)",0.160054693424441,0.0473300066115468,0.000720453637771588
"ENSG00000147905","ZCCHC7","t2d",3,"Weighted median",0.16626404788988,0.0468942556563287,0.000391854261270467
"ENSG00000147905","ZCCHC7","t2d",3,"MR Egger",0.226162310540197,0.0880284967972474,0.236303724961496
"ENSG00000148572","NRBF2","t2d",2,"Inverse variance weighted (fixed effects)",-0.198168638621171,0.0425105861728371,3.13714278455363e-06
"ENSG00000149084","HSD17B12","t2d",4,"Inverse variance weighted (fixed effects)",-0.0800829546245988,0.0204096129608419,8.71681543719766e-05
