"GeneName","n_eqtl","min_p","islet_available"
"AP000304.12",1,2.92514e-10,TRUE
"ATP5O",1,3.87414e-13,TRUE
"CLIC6",1,1.48849e-32,TRUE
"CBR1",1,1.81891e-17,TRUE
"SETD4",1,3.24613e-09,TRUE
"AP000688.29",1,1.65674e-23,TRUE
"CBR3",1,1.25262e-06,TRUE
"PIGP",1,2.41535e-28,TRUE
"PSMG1",1,6.35806e-08,TRUE
"HMGN1",1,1.54097e-08,TRUE
"WRB",1,6.8407e-10,TRUE
"LCA5L",1,8.13523e-13,TRUE
"SH3BGR",1,3.28467e-21,TRUE
"PCP4",1,1.33795e-47,TRUE
"BACE2",1,2.89853e-53,TRUE
"FAM3B",1,3.3743e-16,TRUE
"RIPK4",1,7.65629e-07,TRUE
"C2CD2",1,2.17457e-06,TRUE
"ZNF295-AS1",1,3.23723e-10,TRUE
"TFF3",1,8.94842e-08,TRUE
"TMPRSS3",1,5.50533e-15,TRUE
"RSPH1",1,1.84406e-06,TRUE
"NDUFV3",1,1.54599e-38,TRUE
"CSTB",1,5.86235e-15,TRUE
"PWP2",1,1.08847e-34,TRUE
"ICOSLG",1,3.888e-08,TRUE
"PFKL",1,1.98279e-07,TRUE
"C21orf2",1,1.75085e-15,TRUE
"PTTG1IP",1,1.22988e-11,TRUE
"C21orf67",1,2.40579e-07,TRUE
"FTCD",1,9.33146e-12,TRUE
"SPATC1L",1,2.87457e-31,TRUE
"MCM3AP",1,3.82421e-12,TRUE
"YBEY",1,1.46421e-30,TRUE
"S100B",1,2.37461e-20,TRUE
"CECR7",1,4.17063e-26,TRUE
"IL17RA",1,1.08857e-13,TRUE
"CECR1",1,9.35231e-122,TRUE
"CECR2",1,5.52528e-07,TRUE
"MICAL3",1,1.35171e-09,TRUE
"XXbac-B476C20.17",1,1.65931e-14,TRUE
"TUBA8",1,1.25046e-33,TRUE
"DGCR6",1,5.14615e-20,TRUE
"DOPEY2",2,1.68024e-09,TRUE
"UMODL1",2,1.84737e-08,TRUE
"PDE9A",2,1.67226e-06,TRUE
"LINC00319",2,1.04932e-06,TRUE
"PCBP3",2,3.79441e-13,TRUE
"LSS",2,1.15573e-06,TRUE
"PRODH",1,6.78227e-13,TRUE
"DGCR9",1,5.37141e-32,TRUE
"DGCR14",1,4.01289e-09,TRUE
"SLC25A1",1,2.9588e-15,TRUE
"CLTCL1",1,2.50084e-09,TRUE
"C22orf29",1,3.6121e-23,TRUE
"COMT",1,2.83525e-06,TRUE
"TXNRD2",1,6.63086e-07,TRUE
"ARVCF",1,3.33727e-08,TRUE
"AC006547.14",1,2.82025e-06,TRUE
"ZNF74",1,3.91538e-07,TRUE
"MED15",1,1.21912e-06,TRUE
"SERPIND1",1,9.80481e-27,TRUE
"SNAP29",1,1.39989e-11,TRUE
"XXbac-B135H6.18",1,3.07986e-08,TRUE
"P2RX6",1,1.29842e-15,TRUE
"PPM1F",1,2.82148e-13,TRUE
"TOP3B",1,2.24188e-15,TRUE
"RAB36",1,2.92909e-08,TRUE
"BCR",1,1.62007e-09,TRUE
"KB-208E9.1",1,1.50001e-18,TRUE
"C22orf43",1,7.60344e-24,TRUE
"SMARCB1",1,5.99859e-11,TRUE
"SLC2A11",1,5.35482e-18,TRUE
"AP000350.5",1,9.09671e-94,TRUE
"DDTL",1,1.65562e-11,TRUE
"GSTT2",1,4.15377e-80,TRUE
"SUSD2",1,1.63612e-14,TRUE
"GGT1",1,1.2177e-34,TRUE
"HPS4",1,1.42106e-06,TRUE
"TFIP11",1,1.84927e-07,TRUE
"CTA-445C9.15",1,6.89256e-43,TRUE
"HSCB",1,3.4218e-07,TRUE
"RFPL1",1,4.17372e-06,TRUE
"NEFH",1,6.97461e-08,TRUE
"NIPSNAP1",1,1.11892e-08,TRUE
"ASCC2",1,3.73393e-07,TRUE
"SEC14L6",1,1.96649e-38,TRUE
"SLC35E4",1,4.5779e-07,TRUE
"DUSP18",1,4.0816e-09,TRUE
"SELM",1,1.32496e-09,TRUE
"EIF4ENIF1",1,3.1148e-07,TRUE
"PISD",1,2.71889e-06,TRUE
"SLC5A1",1,4.20968e-08,TRUE
"ARSE",1,3.05861e-07,TRUE
"GSTT2B",2,1.69515e-53,TRUE
"DDT",2,2.13239e-06,TRUE
"GSTT1",2,3.21569e-66,TRUE
"TCN2",2,1.78225e-07,TRUE
"ARSH",2,8.22613e-07,TRUE
"MXRA5",1,1.40328e-06,TRUE
"NLGN4X",1,1.99408e-07,TRUE
"HDHD1",1,2.19205e-11,TRUE
"ARHGAP6",1,3.24311e-06,TRUE
"FRMPD4",1,6.96296e-31,TRUE
"TRAPPC2",1,3.38043e-09,TRUE
"GEMIN8",1,8.30155e-24,TRUE
"MOSPD2",1,7.37875e-13,TRUE
"ASB11",1,7.23107e-09,TRUE
"PIGA",1,7.62673e-07,TRUE
"PIR",1,2.78885e-14,TRUE
"ZRSR2",1,3.82016e-09,TRUE
"RBBP7",1,2.11949e-07,TRUE
"GPR64",1,1.12437e-08,TRUE
"MAP3K15",1,1.45922e-05,TRUE
"CXorf23",1,3.95144e-06,TRUE
"MAP7D2",1,6.5962e-09,TRUE
"EIF1AX",1,3.4564e-16,TRUE
