set,source,term_id,term_name,p_value_gSCS,query_size,term_size,n_intersect,genes
coding56,GO:MF,GO:0003779,actin binding,1.0,50,447,1,BLOC1S2
coding56,GO:MF,GO:0003743,translation initiation factor activity,1.0,50,53,1,SIK2
coding56,GO:MF,GO:0003729,mRNA binding,1.0,50,384,3,FCHO1;YTHDF2;ZBTB6
coding56,GO:MF,GO:0003725,double-stranded RNA binding,1.0,50,76,1,ZBTB6
coding56,GO:MF,GO:0003723,RNA binding,1.0,50,3099,4,FCHO1;MLH3;YTHDF2;ZBTB6
coding56,GO:MF,GO:0003714,transcription corepressor activity,1.0,50,203,2,KDM5A;PGAP3
coding56,GO:MF,GO:0003700,DNA-binding transcription factor activity,1.0,50,1395,5,GIT1;LIPA;SPDYE2;ZNF268;ZNF34
coding56,GO:MF,GO:0003696,satellite DNA binding,1.0,50,4,1,LOXL4
coding56,GO:MF,GO:0003690,double-stranded DNA binding,1.0,50,1584,7,GIT1;HSD17B12;LOXL4;PGAP3;SPDYE2;ZNF268;ZNF34
coding56,GO:MF,GO:0003682,chromatin binding,1.0,50,603,3,HSD17B12;KDM5A;LOXL4
coding56,GO:MF,GO:0003678,DNA helicase activity,1.0,50,76,1,KDM5A
coding56,REAC,REAC:R-HSA-112315,Transmission across Chemical Synapses,1.0,32,258,1,NTAN1
coding56,REAC,REAC:R-HSA-72202,Transport of Mature Transcript to Cytoplasm,1.0,32,80,1,FCHO1
coding56,REAC,REAC:R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript,1.0,32,71,1,FCHO1
coding56,REAC,REAC:R-HSA-382551,Transport of small molecules,1.0,32,729,2,CDC123;PARVA
coding56,REAC,REAC:R-HSA-75109,Triglyceride biosynthesis,1.0,32,14,1,EIF2B2
coding56,REAC,REAC:R-HSA-8979227,Triglyceride metabolism,1.0,32,38,1,EIF2B2
coding56,REAC,REAC:R-HSA-70635,Urea cycle,1.0,32,10,1,MED23
coding56,REAC,REAC:R-HSA-5653656,Vesicle-mediated transport,1.0,32,720,1,TMEM136
coding56,REAC,REAC:R-HSA-9824446,Viral Infection Pathways,1.0,32,873,3,FAM184A;KDM5A;RC3H2
coding56,REAC,REAC:R-HSA-72187,mRNA 3'-end processing,1.0,32,56,1,FCHO1
coding56,REAC,REAC:0000000,REACTOME root term,1.0,32,11056,32,ARL13B;BLOC1S2;BMPR1A;CDC123;DAGLB;DCAF16;DGKQ;DUSP13;EIF2B2;FAM184A;FCHO1;HSD17B12;KCNJ11;KDM5A;LIPA;LOXL4;LRIG1;MED23;MLH3;NTAN1;PARVA;PGAP3;RC3H2;SAP130;SIK2;SNX16;SPDYE2;THAP8;TMEM136;ZNF236;ZNF268;ZNF430
coding56,GO:MF,GO:0000166,nucleotide binding,1.0,50,2161,9,ARL13B;C6orf106;KDM5A;LOXL4;PARVA;SAP130;SIK2;SNX16;TSPAN14
all76,GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,0.35137921026194263,48,3954,20,BLOC1S2;CDC123;CHD4;DAGLB;DUSP13;GIT1;HERPUD2;HSD17B12;KCNJ11;MAST4-AS1;MED27;NTAN1;PHBP9;RP1-159A19.4;SAP130;SNX16;SPDYE2;YTHDF2;ZBTB6;ZNF34
all76,GO:MF,GO:0003713,transcription coactivator activity,0.3598158967201277,50,282,5,BLOC1S2;CDC123;DUSP13;MAST4-AS1;ZBTB6
all76,GO:BP,GO:0006639,acylglycerol metabolic process,0.36880948099746347,48,131,4,CDC123;GIT1;U6;ZNF236
all76,GO:BP,GO:0006638,neutral lipid metabolic process,0.3796989399218752,48,132,4,CDC123;GIT1;U6;ZNF236
all76,GO:BP,GO:0051252,regulation of RNA metabolic process,0.3845966419105674,48,3654,19,BLOC1S2;CDC123;CHD4;DAGLB;DUSP13;GIT1;HERPUD2;HSD17B12;MAST4-AS1;MED27;NTAN1;PHBP9;RP1-159A19.4;SAP130;SNX16;SPDYE2;YTHDF2;ZBTB6;ZNF34
all76,GO:BP,GO:0050852,T cell receptor signaling pathway,0.515277441855515,48,143,4,C6orf106;DGKQ;U6;ZNF34
all76,GO:BP,GO:0080090,regulation of primary metabolic process,0.7280918071641563,48,5215,23,ARG1;BLOC1S2;CDC123;CHD4;DAGLB;DGKQ;DUSP13;GIT1;HERPUD2;HSD17B12;KCNJ11;MAST4-AS1;MED27;NTAN1;PHBP9;RP1-159A19.4;SAP130;SNX16;SPDYE2;YTHDF2;ZBTB6;ZNF236;ZNF34
all76,KEGG,KEGG:00561,Glycerolipid metabolism,0.8095568953659356,23,64,2,CDC123;GIT1
all76,REAC,REAC:R-HSA-114508,Effects of PIP2 hydrolysis,0.9261693972920363,32,27,2,GIT1;ZNF236
all76,GO:BP,GO:0051254,positive regulation of RNA metabolic process,0.9516781309279005,48,1804,12,BLOC1S2;CDC123;DUSP13;MAST4-AS1;MED27;NTAN1;PHBP9;RP1-159A19.4;SAP130;YTHDF2;ZBTB6;ZNF34
all76,GO:MF,GO:0003712,transcription coregulator activity,0.9627259098567488,50,521,6,BLOC1S2;CDC123;DUSP13;MAST4-AS1;PHBP9;ZBTB6
all76,GO:MF,GO:0005515,protein binding,0.9761085229148216,50,15082,46,AC002116.7;ARG1;ARL13B;BLOC1S2;BMPR1A;C18orf8;C6orf106;CTD-2037K23.2;DCAF16;DGKQ;DUSP13;FAM184A;GIT1;HERPUD2;HSD17B12;KCNJ11;KDM5A;KRT8P46;LRIG1;LRRC41;MAST4-AS1;MED23;MED27;Metazoa_SRP;NRBF2;NTAN1;PARVA;PDGFC;PHBP9;PTPRN;RC3H2;RP1-159A19.4;RP11-464F9.1;RP11-464F9.9;RP11-856B14.1;RP11-98D18.9;RP4-756G23.5;SAP130;SH3BGRL3;SNX16;SPDYE2;THAP8;TSPAN14;YTHDF2;ZBTB6;ZNF236
all76,REAC,REAC:R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,1.0,32,83,2,MAST4-AS1;ZBTB6
all76,REAC,REAC:R-HSA-9844594,Transcriptional regulation of brown and beige adipocyte differentiation by EBF2,1.0,32,30,1,PHBP9
all76,REAC,REAC:R-HSA-9843743,Transcriptional regulation of brown and beige adipocyte differentiation,1.0,32,30,1,PHBP9
all76,REAC,REAC:R-HSA-3700989,Transcriptional Regulation by TP53,1.0,32,356,1,PHBP9
all76,REAC,REAC:R-HSA-75876,Synthesis of very long-chain fatty acyl-CoAs,1.0,32,24,1,RP11-464F9.9
all76,REAC,REAC:R-HSA-1483213,Synthesis of PE,1.0,32,13,1,CDC123
all76,REAC,REAC:R-HSA-1483191,Synthesis of PC,1.0,32,28,1,CDC123
all76,REAC,REAC:R-HSA-9006936,Signaling by TGFB family members,1.0,32,156,1,RP1-159A19.4
all76,REAC,REAC:R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",1.0,32,716,3,ARL13B;KCNJ11;KDM5A
all76,REAC,REAC:R-HSA-194315,Signaling by Rho GTPases,1.0,32,701,2,ARL13B;KCNJ11
all76,REAC,REAC:R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,1.0,32,516,2,LRIG1;PHBP9
all76,REAC,REAC:R-HSA-9006931,Signaling by Nuclear Receptors,1.0,32,289,1,DUSP13
all76,REAC,REAC:R-HSA-166520,Signaling by NTRKs,1.0,32,130,1,PHBP9
all76,REAC,REAC:R-HSA-187037,Signaling by NTRK1 (TRKA),1.0,32,111,1,PHBP9
all76,REAC,REAC:R-HSA-6806834,Signaling by MET,1.0,32,76,1,LRIG1
all76,REAC,REAC:R-HSA-372790,Signaling by GPCR,1.0,32,695,2,GIT1;ZNF236
all76,GO:MF,GO:0003677,DNA binding,1.0,50,2540,11,BLOC1S2;DAGLB;DUSP13;HERPUD2;HSD17B12;PHBP9;PTPRN;RP11-856B14.1;SAP130;SPDYE2;ZNF34
all76,GO:MF,GO:0003676,nucleic acid binding,1.0,50,5437,14,BLOC1S2;DAGLB;DUSP13;HERPUD2;HSD17B12;PHBP9;PTPRN;RP11-856B14.1;SAP130;SNX16;SPDYE2;TSPAN14;YTHDF2;ZNF34
all76,GO:MF,GO:0003674,molecular_function,1.0,50,20208,50,AC002116.7;ARG1;ARL13B;BLOC1S2;BMPR1A;C18orf8;C6orf106;CDC123;CTD-2037K23.2;DAGLB;DCAF16;DGKQ;DUSP13;FAM184A;GIT1;HERPUD2;HSD17B12;KCNJ11;KDM5A;KRT8P46;LRIG1;LRRC41;MAST4-AS1;MED23;MED27;Metazoa_SRP;NRBF2;NTAN1;PARVA;PDGFC;PHBP9;PTPRN;RC3H2;RP1-159A19.4;RP11-464F9.1;RP11-464F9.9;RP11-856B14.1;RP11-98D18.9;RP4-756G23.5;SAP130;SH3BGRL3;SNX16;SPDYE2;THAP8;TSPAN14;U6;YTHDF2;ZBTB6;ZNF236;ZNF34
all76,GO:MF,GO:0001968,fibronectin binding,1.0,50,30,1,RP11-464F9.9
all76,GO:MF,GO:0001727,lipid kinase activity,1.0,50,41,1,GIT1
all76,GO:MF,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",1.0,50,267,1,SPDYE2
all76,GO:MF,GO:0001221,transcription coregulator binding,1.0,50,115,1,PHBP9
all76,GO:MF,GO:0001217,DNA-binding transcription repressor activity,1.0,50,278,1,SPDYE2
all76,GO:MF,GO:0001067,transcription regulatory region nucleic acid binding,1.0,50,1414,6,BLOC1S2;DAGLB;DUSP13;HERPUD2;HSD17B12;SPDYE2
all76,GO:MF,GO:0000987,cis-regulatory region sequence-specific DNA binding,1.0,50,1131,5,DAGLB;DUSP13;HERPUD2;HSD17B12;SPDYE2
all76,GO:MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",1.0,50,1309,4,DAGLB;HERPUD2;HSD17B12;SPDYE2
all76,GO:MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,1.0,50,1105,5,DAGLB;DUSP13;HERPUD2;HSD17B12;SPDYE2
all76,GO:MF,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,1.0,50,1310,5,DAGLB;DUSP13;HERPUD2;HSD17B12;SPDYE2
all76,GO:MF,GO:0000976,transcription cis-regulatory region binding,1.0,50,1413,6,BLOC1S2;DAGLB;DUSP13;HERPUD2;HSD17B12;SPDYE2
all76,GO:MF,GO:0000287,magnesium ion binding,1.0,50,233,2,Metazoa_SRP;THAP8
all76,REAC,REAC:R-HSA-72766,Translation,1.0,32,292,1,DGKQ
all76,GO:MF,GO:0004725,protein tyrosine phosphatase activity,1.0,50,100,1,NTAN1
