gene,symbol,outcome,grp,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000010610,CD4,fbg,null,-0.00703040988503111,0.772218915230022,0.003216,27.5046,1528,0.00466677345343041,TRUE,""
ENSG00000010626,LRRC23,fbg,null,-0.00546551580577963,0.617075077451974,0.003216,56.0282,1488,0.00446089916938898,TRUE,""
ENSG00000010704,HFE,cad,null,0.00604117095989876,0.973408772365816,3.212e-06,5.8821,6112,0.00129682270958334,TRUE,""
ENSG00000011114,BTBD7,fbg,null,0.00388461387374568,0.871864744932721,0.001972,22.9109,1941,0.0037579927410486,TRUE,""
ENSG00000011143,MKS1,t2d,grey,0.199651071437097,0.365591537564832,2.464e-08,6.7529,2628,0.000129507104391552,TRUE,""
ENSG00000011198,ABHD5,cad,grey,-0.163267226479557,0.118529505761068,1.05e-05,20.8942,4209,0.0154193604702408,TRUE,""
ENSG00000011295,TTC19,cad,grey,0.0361865669486805,0.155301459227123,5.824e-05,52.0115,4426,0.00795783438904546,TRUE,""
ENSG00000011422,PLAUR,fbg,null,0.0271835845610429,0.837927275162676,6.372e-05,11.5325,1477,0.0103673959710473,TRUE,""
ENSG00000011485,PPP5C,fbg,null,-0.00473640942152226,0.738882680363527,2.253e-05,52.4278,1066,0.0041841671152549,TRUE,""
ENSG00000012171,SEMA3B,cad,null,0.00678053610889174,0.972958244759335,1.813e-08,5.0238,3073,0.00633334895397395,TRUE,""
ENSG00000012660,ELOVL5,t2d,grey,0.0807541893144497,0.480261302753423,6.179e-05,18.4534,4350,0.00607558896859323,TRUE,""
ENSG00000012779,ALOX5,fbg,grey,0.0159225341876041,0.453254704753736,0.004023,26.8299,1299,0.00514865484111816,TRUE,""
ENSG00000012963,UBR7,fbg,grey,0.0109722269785281,0.427126945094663,0.0003649,43.8364,1975,0.00563616964203312,TRUE,""
ENSG00000012963,UBR7,cad,null,-0.00894033309361552,0.722710426810277,1.668e-05,43.8364,6495,0.00166778633098995,TRUE,""
ENSG00000012983,MAP4K5,cad,grey,-0.144472617316234,0.137985870280455,0.000909,10.6979,5245,0.00815096204108261,TRUE,""
ENSG00000013016,EHD3,cad,grey,-0.0801770013602379,0.154376307933322,7.104e-05,20.7201,6110,0.00779965466302676,TRUE,""
ENSG00000013288,MAN2B2,fbg,grey,0.0128872821548029,0.305060822021553,4.359e-05,53.5411,2424,0.0065129954313018,TRUE,""
ENSG00000013364,MVP,fbg,grey,-0.0441673075393345,0.160242834183085,0.007129,23.4527,456,0.0129954368741073,TRUE,""
ENSG00000013374,NUB1,fbg,grey,-0.0219674037083594,0.457568175062507,0.0003701,20.9248,1711,0.00535257453999461,TRUE,""
ENSG00000013375,PGM3,t2d,grey,0.175494223693157,0.0615442192008072,0.0001374,17.1454,3294,0.0214513842873463,TRUE,""
ENSG00000013523,ANGEL1,cad,null,0.0145082169117316,0.604987669676503,0.001513,33.7304,6415,0.00298880249259325,TRUE,""
ENSG00000013523,ANGEL1,fbg,null,0.00773771568625688,0.627783826989789,0.0001049,33.7304,1985,0.00412445681558591,TRUE,""
ENSG00000013583,HEBP1,cad,grey,-0.0366508110902046,0.133614402537716,0.0003961,42.7959,6135,0.00754277334619831,TRUE,""
ENSG00000013810,TACC3,fbg,grey,0.00979393000106058,0.121529125955424,0.0002037,58.6941,1161,0.0130222430531451,TRUE,""
ENSG00000014123,UFL1,t2d,null,-0.0158024301247715,0.812268919201515,0.0003942,19.1909,4497,0.00357078863547813,TRUE,""
ENSG00000014257,ACPP,cad,null,-0.00514454229933535,0.836090649580926,2.999e-09,57.7388,6336,4.376314261295e-05,TRUE,""
ENSG00000014641,MDH1,t2d,grey,0.0552026689468112,0.470952440870632,0.0007465,13.4077,2816,0.00501728682856001,TRUE,""
ENSG00000014919,COX15,cad,grey,0.0441290086475427,0.369958168208807,7.41e-07,20.9152,4611,0.00223440557609808,TRUE,""
ENSG00000015171,ZMYND11,t2d,grey,0.360333730344086,0.190285663648477,8.216e-05,7.0909,1805,0.0122763430676868,TRUE,""
ENSG00000015532,XYLT2,cad,null,0.0596047654539292,0.514288986716092,3.667e-15,13.4139,4710,1.71425982786526e-11,TRUE,""
ENSG00000016391,CHDH,t2d,grey,0.250961363657579,0.261243542263587,6.238e-08,5.7709,3363,0.000256935994928843,TRUE,""
ENSG00000017260,ATP2C1,t2d,grey,-0.118116457690547,0.297960801234778,8.001e-06,15.3703,3584,0.00298418876887238,TRUE,""
ENSG00000017260,ATP2C1,fbg,grey,0.0451621749993269,0.329560259960621,0.004527,15.3703,1705,0.00875482949225508,TRUE,""
ENSG00000017260,ATP2C1,cad,null,0.0277921076918935,0.735341960129593,0.0001733,15.3703,5169,0.0031999072853125,TRUE,""
ENSG00000018510,AGPS,t2d,null,-0.0224487412559066,0.708599716762642,0.001071,29.1843,4452,0.0048302001950127,TRUE,""
ENSG00000018699,TTC27,cad,null,0.0100795927387669,0.804760401488793,7.104e-05,38.5393,6235,0.00403077821849807,TRUE,""
ENSG00000019995,ZRANB1,t2d,grey,0.0613640021900178,0.264302697881567,0.0007731,50.5825,3344,0.0306928898269135,TRUE,""
ENSG00000020181,GPR124,fbg,null,-0.00525026652463756,0.834968706358955,0.002331,30.581,1237,0.00588540229073209,TRUE,""
ENSG00000020256,ZFP64,cad,grey,0.114198305423861,0.183989403475289,6.533e-06,14.4468,6256,0.00479162683395515,TRUE,""
ENSG00000020426,MNAT1,cad,grey,-0.151695327424821,0.42725764959836,0.0001948,9.9686,4301,0.00800168216453228,TRUE,""
ENSG00000021300,PLEKHB1,fbg,grey,0.0225930535527295,0.443701622367481,2.919e-08,28.3627,1272,0.000112918010402923,TRUE,""
ENSG00000021300,PLEKHB1,t2d,null,0.0483240312100047,0.510461244989542,8.635e-25,28.3627,2893,1.77139229933157e-20,TRUE,""
ENSG00000021355,SERPINB1,fbg,null,-0.00951386589146739,0.548506235500147,0.0005453,46.667,2274,0.00479505451297657,TRUE,""
ENSG00000021488,SLC7A9,cad,grey,0.0325581040824917,0.415481291692167,5.702e-06,30.697,6456,0.00328421667235719,TRUE,""
ENSG00000021488,SLC7A9,fbg,null,0.00114238961692953,0.956892098247026,5.291e-05,30.697,1641,0.00451674050891982,TRUE,""
ENSG00000021574,SPAST,cad,grey,0.305999555786997,0.116904183638693,7.104e-05,7.3695,5860,0.0300798028041534,TRUE,""
ENSG00000021776,AQR,fbg,grey,-0.0519342093686952,0.41821391318549,0.01341,11.6136,1737,0.00693407009860783,TRUE,""
ENSG00000022567,SLC45A4,fbg,grey,0.0131331961304468,0.426688082619747,0.002125,67.1737,1665,0.003844330432505,TRUE,""
ENSG00000022567,SLC45A4,cad,null,0.00423651488078929,0.887992336880331,6.576e-05,67.1737,5703,0.00322562797862742,TRUE,""
ENSG00000023041,ZDHHC6,fbg,grey,0.100641772183149,0.256785899295366,7.503e-10,19.121,2056,1.97977218306716e-05,TRUE,""
